Data di inserimento,Termine,Accento,Definizione,"Sinonimi (facoltativo, separa con ;)","Contrari (facoltativo, separa con ;)",Etimologia,Esempio 1,Esempio 2,Esempio 3,Frequenza d'uso,Linguaggio tecnico,Errori,APPRESO
,Asfissia,asfissìa,Sospensione o difficoltà grave della respirazione; figurato: stagnazione.,Soffocamento; mancanza di respiro; stagnazione,Respiro; vitalità; ossigenazione,"Derivato dal greco ""asphyxia"" (assenza di pulsazione).",Morire per asfissia da monossido di carbonio.,L'economia del paese è in uno stato di asfissia.,Sentiva un'asfissia morale in quell'ambiente chiuso.,Media,Medico / Comune,Nessuno,No
,Asindeto,asìndeto,"Figura retorica che consiste nell'elencare termini senza congiunzioni (es. ""veni, vidi, vici"").",Mancanza di congiunzioni; giustapposizione,Polisindeto,"Derivato dal greco ""asyndeton"" (slegato).",L'asindeto rende il ritmo della frase incalzante.,Usare l'asindeto per dare rapidità alla narrazione.,L'opposto dell'asindeto è il polisindeto.,Bassa,Retorica / Linguistica,Nessuno,No
,Asperità,asperità,"Ruvidezza, scabrosità (di superficie); figurato: durezza di carattere o difficoltà.",Ruvidezza; scabrosità; difficoltà; durezza,Levigatezza; dolcezza; facilità; morbidezza,"Derivato dal latino ""asperitas"".",Le asperità del terreno resero difficile il cammino.,Bisogna limare le asperità del suo carattere.,La vita è piena di asperità impreviste.,Media,Comune,Nessuno,No
,Asserire,asserìre,"Affermare con certezza, sostenere come vero.",Affermare; sostenere; dichiarare; confermare,Negare; smentire; confutare,"Derivato dal latino ""asserere"".",Il testimone asserisce di aver visto tutto.,È difficile asserire chi abbia ragione.,Asserire il falso è un reato in tribunale.,Media,Formale / Giuridico,Aserire (una s),No
,Assieparsi,assiepàrsi,"Affollarsi, accalcarsi stringendosi come in una siepe.",Accalcarsi; affollarsi; ammassarsi; radunarsi,Disperdersi; diradarsi; allontanarsi,"Derivato da ""siepe"".",La folla iniziò ad assieparsi davanti ai cancelli.,I fan si assieparono sotto l'hotel.,I pensieri si assiepavano nella sua mente.,Media,Comune,Asieparsi (una s),No
,Assiepato,assiepàto,"Gremito, affollato, stretto insieme.",Gremito; affollato; stipato; pieno,Vuoto; deserto; rado; sgombro,"Participio passato di ""assieparsi"".",Lo stadio era assiepato in ogni ordine di posto.,Un pubblico assiepato e rumoroso.,Strade assiepate di turisti.,Media,Comune,Nessuno,No
,Assuefatto,assuefàtto,"Abituato, avvezzo (spesso con sfumatura di dipendenza).",Abituato; avvezzo; dipendente; assuefatto,Disabituato; libero; intollerante,"Derivato dal latino ""assuefacere"".",Il corpo è ormai assuefatto al farmaco.,Era assuefatto a obbedire senza discutere.,Occhi assuefatti al buio.,Media,Comune,Nessuno,No
,Assurgere,assùrgere,"Innalzarsi, elevarsi (specie a dignità, fama o ruolo superiore).",Innalzarsi; elevarsi; salire; diventare,Abbassarsi; decadere; scendere,"Derivato dal latino ""adsurgere"".",Assurgere agli onori della cronaca.,Un fatto di cronaca che assurge a simbolo nazionale.,La sua opera assurge a capolavoro.,Bassa,Giornalistico / Letterario,Asurgere (una s),No
,Astruso,astrùso,"Difficile da capire, oscuro, complicato, privo di chiarezza.",Complicato; oscuro; incomprensibile; difficile,Chiaro; semplice; comprensibile; elementare,"Derivato dal latino ""abstrusus"" (nascosto).",Un ragionamento astruso e contorto.,Parla un linguaggio tecnico astruso per i profani.,Concetti filosofici troppo astrusi.,Media,Comune,Nessuno,No
,Attingere,attìngere,"Trarre, prendere (liquidi o informazioni) da una fonte.",Trarre; prendere; ricavare; prelevare,Versare; immettere; aggiungere,"Dal latino ""attingere"".",Attingere acqua dal pozzo.,Attingere notizie da fonti sicure.,Attingere a piene mani.,Media,Comune,Atingere (una t),No
,Austero,austèro,"Severo, rigido nei costumi; semplice, privo di ornamenti o fronzoli.",Severo; rigido; sobrio; rigoroso,Indulgente; frivolo; lussuoso; sfarzoso,"Derivato dal latino ""austerus"" (aspro).",Conduceva una vita austera e monastica.,Un arredamento austero ed essenziale.,Aveva un volto austero che incuteva timore.,Media,Comune,Nessuno,No
,Automedonte,automedónte,"Guidatore, autista (spesso usato in senso scherzoso o ironico).",Autista; guidatore; cocchiere,Passeggero,Dal nome del cocchiere di Achille nell'Iliade.,Affidati al nostro esperto automedonte per il viaggio.,Chi è l'automedonte che guida così male?,Uso colto e raro.,Molto bassa,Letterario / Scherzoso,Nessuno,No
,Autotelico,autotèlico,Che ha il proprio fine in se stesso (detto spec. di attività ludiche o artistiche).,Fine a se stesso; intrinseco,Strumentale; eterotelico,"Composto da ""auto-"" e greco ""telos"" (fine).",Il gioco è un'attività autotelica.,L'arte per l'arte è una visione autotelica dell'estetica.,"Le esperienze di ""flusso"" sono considerate autoteliche.",Molto bassa,Psicologia / Filosofia,Nessuno,No
,Avventore,avventóre,Cliente abituale o occasionale di un locale pubblico.,Cliente; frequentatore; ospite; compratore,Gestore; proprietario; venditore,"Derivato dal latino ""adventor"" (chi arriva).",Il barista chiacchierava con un avventore.,Il locale era pieno di avventori rumorosi.,"Si sedette in disparte, lontano dagli altri avventori.",Media,Comune / Commerciale,Aventore (una v),No
,Avvincere,avvìncere,"Legare strettamente (fisicamente o fig.); affascinare, conquistare l'attenzione.",Legare; affascinare; appassionare; coinvolgere,Annoiare; stancare; liberare; sciogliere,"Derivato dal latino ""vincire"" (legare), con prefisso intensivo ""ad-"".",La trama del romanzo avvince il lettore dalla prima pagina.,Sentirsi avvinto da un abbraccio mortale.,Il suo racconto ci ha avvinti tutti.,Bassa,Letterario,Avincere (una v),No
,Azzimato,azzimàto,"Vestito e acconciato con cura eccessiva, lezioso.",Elegante; agghindato; attillato; curato,Trasandato; sciatto; disordinato,"Derivato da ""azzimare"", forse dall'arabo ""al-zimam"".",Si presentò tutto azzimato e profumato.,Un vecchio signore azzimato e galante.,Non mi piacciono gli uomini troppo azzimati.,Bassa,Comune,Azimato (una z),No
,Badilata,badilàta,"Colpo dato con un badile; gergale: grande quantità (soldi, voti, roba).",Colpo; manata; sbadilata,-,"Derivato da ""badile"".",Ha preso una badilata di voti alle elezioni.,Bisogna spostare quella terra a badilate.,"Gergale: ""una badilata di fatti suoi"".",Bassa,Colloquiale / Gergo,Nessuno,No
,Baloccarsi,baloccàrsi,Perdere tempo in giochi o occupazioni futili; divertirsi.,Trastullarsi; gingillarsi; perdersi; svagarsi,Impegnarsi; lavorare; affaticarsi; annoiarsi,"Derivato da ""balocco"" (giocattolo).",Smetti di baloccarti e studia!,"Si baloccava con l'idea di partire, ma non lo fece mai.",Passa il tempo a baloccarsi con il cellulare.,Bassa,Comune,Nessuno,No
,Baluba,balùba,"Persona rozza, sciocca o incivile (origine offensiva/razzista, oggi slang generico).",Rozzo; incivile; zotico; primitivo,Civile; educato; raffinato; colto,Dal nome della popolazione congolese dei Baluba.,"Non fare il baluba, comportati bene.",Guidi come un baluba!,Attenzione: termine nato con connotazione razzista.,Bassa,Gergo / Offensivo,Nessuno,No
,Balza,bàlza,Ripiano sporgente di una parete rocciosa; striscia di stoffa ornamentale (vestiti/tende).,Sporgenza; ripiano; scarpata; precipizio; volant,Pianura; piano; liscio,"Etimologia incerta, forse prelatina.",La capra si arrampicò sulla balza scoscesa.,Una gonna con le balze colorate.,Dante cita le balze del Purgatorio.,Bassa,Letterario / Sartoria,Nessuno,No
,Batrace,batràce,"Anfibio dell'ordine degli Anuri (es. rane, rospi).",Anfibio; anuro; rana; rospo,-,"Derivato dal greco ""batrachos"" (rana).",Lo stagno è popolato da batraci.,"La ""Batracomiomachia"" è la guerra dei topi e dei batraci.",Termine scientifico per indicare le rane.,Bassa,Zoologia,Nessuno,No
,Battigia,battìgia,Zona della spiaggia dove batte l'onda; bagnasciuga.,Bagnasciuga; riva; lido; spiaggia,Largo; alto mare,"Derivato da ""battere"".",Camminare lungo la battigia al tramonto.,È vietato costruire sulla battigia.,Le onde si infrangevano sulla battigia sabbiosa.,Media,Comune / Balneare,Batigia (una t),No
,Berciare,berciàre,"Gridare in modo sguaiato, urlare confusamente.",Urlare; sbraitare; gridare; strillare,Sussurrare; mormorare; tacere; bisbigliare,"Probabile origine onomatopeica o dal latino ""vervex"" (montone).",Smettila di berciare come un ossesso!,La folla berciava slogan incomprensibili.,Sentivo berciare dalla strada.,Bassa,Colloquiale / Toscano,Nessuno,No
,Beuta,bèuta,Recipiente di vetro a forma conica usato nei laboratori chimici.,Matraccio; contenitore conico,-,Dal nome del chimico K.F. Beutel (o adattamento di altro nome).,Versare l'acido nella beuta.,Agitare la beuta per mescolare la soluzione.,La beuta si differenzia dal pallone per il fondo piatto.,Bassa,Chimica / Scientifico,Nessuno,No
,Bifolco,bifólco,"Custode di buoi; figurato: persona rozza, villana, ignorante.",Zoticone; villano; cafone; contadino (spregiativo),Signore; gentiluomo; raffinato; aristocratico,"Derivato dal latino ""bubulcus"" (bovaro).",Si comporta come un bifolco maleducato.,Non fare il bifolco a tavola.,Un tempo il bifolco arava i campi.,Media,Offensivo / Comune,Nessuno,No
,Bisellatura,bisellatùra,"Taglio obliquo dello spigolo di un oggetto (vetro, legno, metallo).",Smussatura; svasatura; taglio obliquo,Spigolo vivo,"Derivato da ""bisello"" (smusso).",Lo specchio ha una pregiata bisellatura ai bordi.,La bisellatura delle piastrelle evita che si scheggino.,Lavorazione artigianale di bisellatura.,Bassa,Tecnico / Artigianato,Nessuno,No
,Bislacco,bislàcco,"Stravagante, bizzarro, strampalato (spesso riferito a persona o idea).",Stravagante; bizzarro; strambo; originale,Normale; comune; ordinario; serio,"Forse dallo sloveno ""bezjak"" (sciocco) o veneto ""bislaco"".",Ha un modo di vestire bislacco.,È un tipo bislacco ma simpatico.,Un'idea bislacca che non funzionerà mai.,Media,Comune,Nessuno,No
,Blandire,blandìre,"Accarezzare con parole dolci, lusingare, cercare di calmare.",Lusingare; accarezzare; ammansire; addolcire,Maltrattare; offendere; minacciare; irritare,"Derivato dal latino ""blandiri"".",Cercò di blandire il cane ringhioso.,Blandire la vanità di qualcuno con dei complimenti.,Non si lasciò blandire dalle false promesse.,Bassa,Letterario,Nessuno,No
,Blandirsi,blandìrsi,"Lusingarsi, illudersi, confortarsi.",Illudersi; confortarsi; consolarsi,Disperarsi; affliggersi; deprimersi,Vedi Blandire.,Si blandiva con la speranza di un ritorno.,È inutile blandirsi con sogni impossibili.,Blandirsi l'anima con dolci ricordi.,Molto bassa,Letterario,Nessuno,No
,Blasonato,blasonàto,"Nobile, di antica stirpe (che ha un blasone); figurato: celebre, titolato (squadra, marchio).",Nobile; titolato; illustre; famoso,Plebeo; ignoto; sconosciuto; umile,"Derivato da ""blasone"" (stemma gentilizio).",Una famiglia blasonata ma decaduta.,Il club più blasonato del campionato.,Vini blasonati e costosi.,Media,Comune,Nessuno,No
,Boiacca,boiàcca,Impasto liquido di cemento e acqua; gergale: minestra insipida o brodaglia.,Impasto di cemento; brodaglia; intruglio,-,Etimologia incerta.,Stendere la boiacca per fissare le piastrelle.,In mensa servono una boiacca immangiabile.,I muratori preparano la boiacca nel secchio.,Bassa,Edilizia / Gergo,Nessuno,No
,Boicottare,boicottàre,"Ostacolare o isolare un'attività, prodotto o persona per protesta o ritorsione.",Ostacolare; sabotare; isolare; impedire,Favorire; sostenere; promuovere; agevolare,"Dal nome di Charles Boycott, amministratore terriero ostracizzato in Irlanda.",Hanno deciso di boicottare i prodotti di quella marca.,Boicottare le elezioni non andando a votare.,Il piano è stato boicottato dall'interno.,Media,Comune,Nessuno,No
,Bolgetta,bolgétta,"Piccola borsa di cuoio, un tempo usata per la posta; cartella.",Borsa; cartella; valigetta,-,"Diminutivo di ""bolgia"" (borsa).",Il postino portava la bolgetta a tracolla.,Tirò fuori le lettere dalla bolgetta.,Termine ormai desueto.,Molto bassa,Arcaico,Nessuno,No
,Bolso,bólso,"Che respira a fatica (detto di cavallo asmatico); figurato: fiacco, privo di vigore.",Asmatico; fiacco; spompato; pesante,Agile; scattante; vigoroso; sano,"Probabile derivazione dal latino ""pulsus"" (battito, affanno).",Un cavallo bolso non può correre.,Uno stile letterario bolso e pesante.,Si sentiva bolso e stanco dopo la salita.,Bassa,Veterinaria / Letterario,Nessuno,No
,Bramare,bramàre,"Desiderare ardentemente, volere con passione.",Desiderare; agognare; volere; concupire,Disprezzare; rifiutare; aborrire; detestare,"Di origine germanica (""brammon"", ruggire).",Bramare il potere sopra ogni cosa.,Bramava di rivederla dopo tanti anni.,Non c'è nulla che io brami di più.,Media,Letterario,Nessuno,No
,Bramosia,bramosìa,"Desiderio smodato, avidità intensa (di ricchezze, piaceri, potere).",Avidità; cupidigia; smania; sete,Indifferenza; sazietà; distacco; moderazione,"Derivato da ""bramare"".",La bramosia di denaro lo ha rovinato.,Mangiava con bramosia animalesca.,Guardava i gioielli con bramosia.,Media,Letterario,Nessuno,No
,Brandire,brandìre,Impugnare e agitare un'arma o un oggetto minacciosamente.,Impugnare; agitare; sventolare; maneggiare,Deporre; abbassare; riporre; lasciare,"Derivato dal francese antico ""brand"" (spada).",Lo vidi brandire un bastone contro il ladro.,Brandire la spada in segno di sfida.,Brandiva il certificato come fosse un trofeo.,Bassa,Letterario / Comune,Nessuno,No
,Brogliaccio,brogliàccio,"Quaderno per appunti provvisori; registro di prima nota (comm. ""Scartafaccio"").",Scartafaccio; bozza; minuta; registro provvisorio,Bella copia; originale; registro ufficiale,"Derivato da ""broglio"" (imbroglio/mescolanza).",Ha segnato l'ordine sul brogliaccio.,"È solo un brogliaccio, poi lo ricopio in bella.",Il poliziotto annotava i nomi sul brogliaccio.,Bassa,Burocratico / Comune,Broliaccio (una g),No
,Bruma,brùma,"Nebbia fitta e umida, foschia (spesso invernale).",Nebbia; foschia; caligine; vapore,Sereno; limpidezza; sole; chiarezza,"Dal latino ""bruma"" (solstizio d'inverno).",La città era avvolta nella bruma mattutina.,Le navi svanirono nella bruma.,Il sole faticava a bucare la bruma.,Bassa,Letterario / Meteo,Nessuno,No
,Bubare,bubàre,Brontolare cupamente; tremare dal freddo; verso del gufo (toscano).,Brontolare; tremare; borbottare,Tacere,Onomatopeico (bu-bu).,Smettila di bubare e datti da fare.,Il gufo bubava nella notte.,Bubava dal freddo aspettando il bus.,Molto bassa,Regionale (Toscano),Nessuno,No
,Bustrofedico,bustrofèdico,"Tipo di scrittura antica che cambia direzione a ogni riga (da sx a dx, poi da dx a sx).",A serpentina; alternata (scrittura),Lineare,"Dal greco ""bous"" (bue) e ""strephein"" (voltare), come i buoi che arano.",Un'iscrizione greca arcaica in stile bustrofedico.,Leggere un testo bustrofedico è difficile oggi.,Scrittura a serpentina detta bustrofedica.,Molto bassa,Archeologia / Paleografia,Nessuno,No
,Buzzurro,buzzùrro,"Persona rozza, villana, zotica.",Zotico; villano; maleducato; rozzo,Raffinato; educato; gentile; signorile,"In origine indicava i montanari svizzeri (""Butzer"") scesi a Roma per lavorare.",Quel buzzurro non sa nemmeno dire grazie.,Vestito come un buzzurro alla cerimonia.,Modi da buzzurro.,Media,Colloquiale / Offensivo,Buzzuro (una r),No
,Calamistro,calamìstro,Ferro usato nell'antichità per arricciare i capelli; boccolo.,Ferro per ricci; arricciacapelli (antico),-,"Derivato dal latino ""calamistrum"".",Le matrone romane usavano il calamistro per le acconciature.,Capelli ornati da perfetti calamistri.,"Termine oggi desueto, sostituito da arricciacapelli.",Molto bassa,Storico / Letterario,Nessuno,No
,Caligine,calìgine,Nebbia densa e oscura; fumo nero; figurato: cecità mentale.,Nebbia scura; fumo; foschia; oscurità,Chiarore; luce; limpidezza; trasparenza,"Derivato dal latino ""caligo"".",Una fitta caligine avvolgeva la valle.,La caligine dell'ignoranza offusca la ragione.,Attraversarono la caligine dell'incendio.,Bassa,Letterario,Nessuno,No
